Front Spring [N/m],Rear Spring [N/m],Raw Lap Time [s],Cones Hit,Total Time [s]
33110.0,32990.0,85.557,10,105.557
42918.0,32990.0,85.555,10,105.555
57082.0,32990.0,85.566,10,105.566
34164.1,32990.0,85.557,10,105.557
41145.8,32990.0,85.554,10,105.554
39547.1,32990.0,85.557,10,105.557
41642.2,32990.0,85.553,10,105.553
41892.3,32990.0,85.553,10,105.553
42059.0,32990.0,85.553,10,105.553
42387.1,32990.0,85.553,10,105.553
42589.9,32990.0,85.555,10,105.555
42387.1,42918.0,85.556,10,105.556
42387.1,57082.0,85.556,10,105.556
42387.1,65835.9,85.506,10,105.506
42387.1,71246.1,85.508,10,105.508
42387.1,68110.5,85.509,10,105.509
42387.1,62492.2,85.508,10,105.508
42387.1,66869.2,85.506,10,105.506
42387.1,66352.5,85.507,10,105.507
42387.1,67343.3,85.507,10,105.507
42387.1,66671.8,85.506,10,105.506
46058.1,80000.0,85.505,10,105.505
35844.5,42918.0,85.555,10,105.555
42918.0,42918.0,85.559,10,105.559
57082.0,42918.0,85.546,10,105.546
65835.9,42918.0,85.575,10,105.575
52486.0,42918.0,85.564,10,105.564
60425.7,42918.0,85.552,10,105.552
52962.3,42918.0,85.563,10,105.563
55508.4,42918.0,85.564,10,105.564
58359.2,42918.0,85.548,10,105.548
56481.0,42918.0,85.546,10,105.546
56314.3,42918.0,85.546,10,105.546
56006.5,42918.0,85.564,10,105.564
60215.6,57082.0,85.56,10,105.56
